,ID8102,YEAR,OUTCOME,OUTCMYEAR,switcher,instresp,XL.AREA,age1.fav,age2.fav,age3.fav,age4.fav,age5.fav,age6.fav,age7.fav,age8.fav,age9.fav,age10.fav,age11.fav,age12.fav,age1.opp,age2.opp,age3.opp,age4.opp,age5.opp,age6.opp,age7.opp,age8.opp,age9.opp,age10.opp,age11.opp,age12.opp,age1.dk,age2.dk,age3.dk,age4.dk,age5.dk,age6.dk,age7.dk,age8.dk,age9.dk,age10.dk,age11.dk,age12.dk,edu1.fav,edu2.fav,edu3.fav,edu4.fav,edu5.fav,edu6.fav,edu7.fav,edu8.fav,edu9.fav,edu10.fav,edu11.fav,edu12.fav,edu1.opp,edu2.opp,edu3.opp,edu4.opp,edu5.opp,edu6.opp,edu7.opp,edu8.opp,edu9.opp,edu10.opp,edu11.opp,edu12.opp,edu1.dk,edu2.dk,edu3.dk,edu4.dk,edu5.dk,edu6.dk,edu7.dk,edu8.dk,edu9.dk,edu10.dk,edu11.dk,edu12.dk,inc1.fav,inc2.fav,inc3.fav,inc4.fav,inc5.fav,inc6.fav,inc7.fav,inc8.fav,inc9.fav,inc10.fav,inc11.fav,inc12.fav,inc1.opp,inc2.opp,inc3.opp,inc4.opp,inc5.opp,inc6.opp,inc7.opp,inc8.opp,inc9.opp,inc10.opp,inc11.opp,inc12.opp,inc1.dk,inc2.dk,inc3.dk,inc4.dk,inc5.dk,inc6.dk,inc7.dk,inc8.dk,inc9.dk,inc10.dk,inc11.dk,inc12.dk,white.fav,black.fav,hispa.fav,asina.fav,white.opp,black.opp,hispa.opp,asina.opp,white.dk,black.dk,hispa.dk,asian.dk,pid1.fav,pid2.fav,pid3.fav,pid4.fav,pid5.fav,pid6.fav,pid7.fav,pid1.opp,pid2.opp,pid3.opp,pid4.opp,pid5.opp,pid6.opp,pid7.opp,pid1.dk,pid2.dk,pid3.dk,pid4.dk,pid5.dk,pid6.dk,pid7.dk,ideo1.fav,ideo2.fav,ideo3.fav,ideo4.fav,ideo5.fav,ideo6.fav,ideo7.fav,ideo1.opp,ideo2.opp,ideo3.opp,ideo4.opp,ideo5.opp,ideo6.opp,ideo7.opp,ideo1.dk,ideo2.dk,ideo3.dk,ideo4.dk,ideo5.dk,ideo6.dk,ideo7.dk,male.fav,female.fav,male.opp,female.opp,male.dk,female.dk,protes.fav,cathlc.fav,jewish.fav,seculr.fav,protes.opp,cathlc.opp,jewish.opp,seculr.opp,protes.dk,cathlc.dk,jewish.dk,seculr.dk,east.fav,south.fav,midwst.fav,west.fav,east.opp,south.opp,midwst.opp,west.opp,east.dk,south.dk,midwst.dk,west.dk,nounn.fav,union.fav,nounn.opp,union.opp,nounn.dk,union.dk,pred10.sw,pred30.sw,pred50.sw,pred70.sw,pred90.sw,PREDALL.SW,INTGRP.STFAV,INTGRP.SWFAV,INTGRP.STOPP,INTGRP.SWOPP,AARP,AFLCIO,Airlines,AmericanBankersAssociation,AmericanCouncilofLifeInsurance,AmericanFarmBureauFederation,AmericanFederationofStateCountya,AmericanHospitalAssociation,AmericanIsraelPublicAffairsCommi,AmericanLegion,AmericanMedicalAssociation,AssociationofTrialLawyers,Automobilecompanies,ChamberofCommerce,ChristianCoalition,Computersoftwareandhardware,CreditUnionNationalAssociation,Defensecontractors,Electriccompanies,HealthInsuranceAssociation,IndependentInsuranceAgentsofAmer,InternationalBrotherhoodofTeamst,MotionPictureAssociationofAmeric,NationalAssociationofBroadcaster,NationalAssociationofHomeBuilder,NationalAssociationofManufacture,NationalAssociationofRealtors,NationalBeerWholesalersAssociati,NationalEducationAssociation,NationalFederationofIndependentB,NationalGovernorsAssociation,NationalRestaurantAssociation,NationalRifleAssociation,NationalRighttoLifeCommittee,OilCompanies,PharmaceuticalResearchManufactur,RecordingIndustryAssociation,Securitiesandinvestmentcompanies,Telephonecompanies,Tobbacocompanies,UnitedAutoWorkersunion,Universities,VeteransofForeignWarsoftheU.S,ECYN,SWYN,FPYN,RLYN,GNYN,ideology,QuestionText,change,rich.want,middle.want,poor.want,diff
145,485,1986,2,NA,0,1,taxation,35,65,82,70,58,52,27,98,49,9,0,0,34,41,86,83,78,57,42,84,50,16,0,0,4,11,13,11,11,12,7,27,24,10,0,0,57,199,141,91,56,0,0,0,0,0,0,0,70,184,141,111,65,0,0,0,0,0,0,0,21,48,33,12,16,0,0,0,0,0,0,0,34,75,126,122,112,65,0,0,0,0,0,0,42,74,108,127,111,94,0,0,0,0,0,0,22,23,26,19,23,7,0,0,0,0,0,0,456,42,32,5,490,43,29,4,108,10,12,0,157,158,229,0,0,0,0,183,181,208,0,0,0,0,37,38,54,0,0,0,0,193,244,100,0,0,0,0,211,247,105,0,0,0,0,52,47,18,0,0,0,0,280,265,301,271,30,101,306,168,8,45,319,169,22,32,70,37,6,11,124,178,143,100,153,173,130,116,35,36,36,24,419,119,455,112,104,26,0.486292839,0.520261705,0.52173084,0.492441118,0.430324197,0.49021014,0,0,3,17,NA,NA,-1,-1,NA,-1,NA,-1,NA,NA,NA,NA,-1,-2,NA,-1,NA,-1,-1,NA,-1,NA,NA,NA,-1,-2,NA,-1,NA,-2,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,NA,NA,NA,1,0,0,0,0,1,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: The investment tax credit for co",TRUE,FALSE,TRUE,FALSE,-1
147,548,1988,2,NA,0,1,taxation,37,49,68,60,51,53,50,103,71,56,0,0,64,76,93,82,89,68,48,134,65,27,0,0,0,0,0,5,2,2,1,6,3,11,0,0,140,217,128,66,49,0,0,0,0,0,0,0,209,318,124,60,33,0,0,0,0,0,0,0,11,11,4,2,1,0,0,0,0,0,0,0,72,93,111,114,84,59,13,17,0,0,0,0,102,120,150,161,83,36,18,10,0,0,0,0,5,8,0,4,3,0,0,3,0,0,0,0,499,49,32,5,557,109,61,9,21,3,0,0,232,140,234,0,0,0,0,202,225,327,0,0,0,0,10,15,4,0,0,0,0,265,197,117,0,0,0,0,264,281,151,0,0,0,0,7,12,2,0,0,0,0,302,304,333,421,8,22,369,151,23,31,427,234,10,48,16,6,1,3,147,214,146,99,179,234,210,131,12,9,6,3,507,88,578,165,26,3,0.430372536,0.407432675,0.419735432,0.463592231,0.542697787,0.452766132,0,0,0,13,NA,-1,-1,NA,NA,-1,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,-1,NA,NA,1,0,0,0,0,1,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised",TRUE,TRUE,FALSE,FALSE,1
153,751,1993,2,NA,0,7,religious,100.2799988,98.44000244,95.87999725,68,70.55999756,50.29000092,NA,NA,NA,NA,NA,NA,115.5400009,111.2799988,102,63.91999817,39.20000076,50.29000092,NA,NA,NA,NA,NA,NA,2.180000067,4.28000021,4.079999924,4.079999924,3.359999895,7.489999771,NA,NA,NA,NA,NA,NA,43.68000031,180.5399933,115.9199982,79.37999725,58,NA,NA,NA,NA,NA,NA,NA,39.47999954,162.8399963,131.0399933,76.13999939,81.19999695,NA,NA,NA,NA,NA,NA,NA,0.839999974,10.61999989,5.039999962,8.100000381,5.800000191,NA,NA,NA,NA,NA,NA,NA,64.26000214,46.06000137,90.72000122,137.2799988,87,35.52000046,0,0,0,0,0,0,82.62000275,50.95999908,72.23999786,124.0800018,81.77999878,58.56000137,0,0,0,0,0,0,7.650000095,0.980000019,6.71999979,2.640000105,5.21999979,1.919999957,NA,NA,NA,NA,NA,NA,430.7099915,23.94000053,0,5.699999809,421.9200134,31.35000038,0,4.300000191,26.37000084,1.710000038,0,0,184.4400024,168.3000031,126.8399963,NA,NA,NA,NA,153.1199951,155.1000061,166.1000061,NA,NA,NA,NA,10.43999958,6.599999905,9.06000042,NA,NA,NA,NA,222.4799957,190.1199951,63,NA,NA,NA,NA,177.1600037,186.2400055,113.4000015,NA,NA,NA,NA,12.35999966,11.64000034,3.599999905,NA,NA,NA,NA,276.6499939,214.5700073,216.2899933,269.4599915,10.06000042,19.95999908,0,0,0,0,0,0,0,0,0,0,0,0,94.59999847,174.3699951,127.1999969,88.77999878,116.0999985,148.0500031,129.8500061,98.43000031,4.300000191,9.869999886,7.949999809,5.789999962,0,0,0,0,0,0,0.444303334,0.525197268,0.549636602,0.520370841,0.43447423,0.494796455,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,"In order to deal with the issue of gays in the military, some people have proposed a plan called Don't Ask, Don't Tell. According to that plan, the military would no longer ask personnel whether or not they are homosexual. But if personnel reve",TRUE,FALSE,TRUE,FALSE,-1
162,937,1995,2,1997,0,1,health,98.69999695,123.8399963,117.4499969,63.91999817,29.20000076,19.64999962,NA,NA,NA,NA,NA,NA,107.0999985,126.4199982,133.1100006,110.9199982,102.1999969,91.69999695,NA,NA,NA,NA,NA,NA,4.199999809,7.739999771,10.43999958,15.03999996,14.60000038,19.64999962,NA,NA,NA,NA,NA,NA,37.40999985,159.9799957,125.5999985,86.01999664,81.5,NA,NA,NA,NA,NA,NA,NA,79.98000336,235.7599945,172.6999969,99.11000061,74.98000336,NA,NA,NA,NA,NA,NA,NA,10.31999969,25.26000023,18.84000015,0.935000002,6.519999981,NA,NA,NA,NA,NA,NA,NA,60.75999832,60.90000153,173.2899933,40.91999817,127.4400024,0,0,0,0,0,0,0,132.3699951,109.6200027,213.5899963,73.16000366,101.4800034,0,0,0,0,0,0,0,23.87000084,3.480000019,20.14999962,9.920000076,4.71999979,0,NA,NA,NA,NA,NA,NA,432.1400146,24.95999908,25.29999924,2.079999924,579.7000122,69.68000031,27.5,9.359999657,52.70000076,9.359999657,2.200000048,1.559999943,151.1999969,122.8399963,149.7599945,NA,NA,NA,NA,164.6399994,202.5200043,245.4400024,NA,NA,NA,NA,20.15999985,6.639999866,24.95999908,NA,NA,NA,NA,187.5899963,152,127.2799988,NA,NA,NA,NA,299.1300049,201.3999939,150.9600067,NA,NA,NA,NA,20.28000069,22.79999924,17.76000023,NA,NA,NA,NA,256.519989,218.6199951,297.3299866,385.7999878,29.14999962,38.58000183,0,0,0,0,0,0,0,0,0,0,0,0,127.5299988,115.8000031,143.5200043,84.41999817,186.3899994,239.3200073,152.8800049,106.5299988,13.07999992,30.87999916,15.60000038,10.05000019,0,0,0,0,0,0,0.324862659,0.371236145,0.420337379,0.474226117,0.52810657,0.423753774,1,0,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,99,"As you may know, Medicare, the federal government's health insurance program for the elderly, costs the government roughly 150 billion dollars a year and costs are expected to rise rapidly as the country's population ages in the next century. I",TRUE,TRUE,FALSE,FALSE,1
167,1088,1995,2,NA,0,1,misc others,99.76000214,133.1100006,117.8099976,55.04000092,52.36000061,47,NA,NA,NA,NA,NA,NA,68.80000305,122.6699982,110.8799973,70.40000153,58.31000137,48,NA,NA,NA,NA,NA,NA,3.440000057,2.609999895,4.619999886,1.279999971,8.329999924,5,NA,NA,NA,NA,NA,NA,47.84999847,201.0399933,138.8600006,63.41999817,48.04999924,NA,NA,NA,NA,NA,NA,NA,35.66999817,150.7799988,117.9000015,86.06999969,102.3000031,NA,NA,NA,NA,NA,NA,NA,3.480000019,10.77000046,7.860000134,1.50999999,3.099999905,NA,NA,NA,NA,NA,NA,NA,72.36000061,60.38999939,80.58000183,122.9899979,89.66999817,63,0,0,0,0,0,0,60.29999924,34.65000153,74.26000214,120.4800034,91.5,77,0,0,0,0,0,0,1.340000033,4.949999809,4.739999771,5.019999981,1.830000043,1.399999976,NA,NA,NA,NA,NA,NA,410.3999939,63.65000153,8.880000114,0,418.9500122,31.35000038,14.15999985,0,25.64999962,0,0.959999979,0,172.6399994,176.8899994,143,NA,NA,NA,NA,156.0399933,169.6699982,126.5,NA,NA,NA,NA,6.639999866,14.43999958,5.5,NA,NA,NA,NA,249,174.1499939,76.66999817,NA,NA,NA,NA,157.6999969,201.2400055,104.7200012,NA,NA,NA,NA,8.300000191,11.60999966,3.74000001,NA,NA,NA,NA,260.6099854,254.5,250.3899994,234.1399994,5.110000134,20.36000061,0,0,0,0,0,0,0,0,0,0,0,0,95.51999664,206.6999969,103.1999969,105.8399963,99.5,175.5,105.3499985,101.5199966,3.980000019,11.69999981,6.449999809,6.480000019,0,0,0,0,0,0,0.566810131,0.545377254,0.519980788,0.491615236,0.458090425,0.516374767,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0," (I'm going to read some ways to deal with the problems of drugs. Thinking in terms of how much each proposal might cost, and how effective you feel it would be, please tell me whether you strongly favor, or strongly oppose the proposal.)... Us",TRUE,FALSE,TRUE,TRUE,-1
170,1168,1996,2,NA,0,1,health,59.52000046,77.80999756,80.23999786,31.20000076,21.85000038,10.56000042,NA,NA,NA,NA,NA,NA,89.27999878,82.83000183,75.51999664,37.20000076,39.09999847,32.56000137,NA,NA,NA,NA,NA,NA,37.20000076,90.36000061,82.59999847,51.59999847,54.04999924,44,NA,NA,NA,NA,NA,NA,14.25,75.18000031,85.47000122,72.51999664,45.63000107,NA,NA,NA,NA,NA,NA,NA,21.75,146.7799988,103.5999985,56.84000015,37.43999863,NA,NA,NA,NA,NA,NA,NA,39,134.25,69.93000031,66.63999939,32.75999832,NA,NA,NA,NA,NA,NA,NA,5.099999905,14.80000019,58.13999939,82.16999817,62.52999878,52.08000183,0,0,0,0,0,0,15.81000042,66.59999847,46.16999817,109.5599976,60.84000015,34.72000122,0,0,0,0,0,0,30.09000015,66.59999847,68.40000153,57.27000046,47.31999969,37.20000076,NA,NA,NA,NA,NA,NA,231.7100067,13.52000046,8.539999962,7.519999981,279.6499939,52,26.22999954,1.75999999,283.644989,38.47999954,26.22999954,6.880000114,127.7099991,75.5,63,NA,NA,NA,NA,89.09999847,114.7600021,150.5,NA,NA,NA,NA,78.70500183,114.7600021,140,NA,NA,NA,NA,146.1999969,77.40000153,56.09999847,NA,NA,NA,NA,120.4000015,166.4100037,69.30000305,NA,NA,NA,NA,163.3999939,143.1900024,39.59999847,NA,NA,NA,NA,160,117.5299988,175,194.1799927,167.5,201.8450012,0,0,0,0,0,0,0,0,0,0,0,0,54,90.25,69.59999847,60.90000153,84,126.3499985,84,69.30000305,62,144.3999939,84,79.80000305,454.2999878,116.4000015,355.1799927,73.72000122,16.52000046,5.820000172,0.299651504,0.397165358,0.476913035,0.529449046,0.551167846,0.450869358,3,0,2,0,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,99," I'm going to give you some information about how Medical Savings Accounts would work, and then ask your opinion of them. Medical Savings Accounts would allow employers to purchase plans with lower premiums that would only provide coverage afte",TRUE,TRUE,FALSE,FALSE,1
171,1199,1996,2,NA,0,1,health,197.0800018,232,175.5599976,105.1200027,173.8800049,0,NA,NA,NA,NA,NA,NA,162.9700012,208.8000031,209,169.3600006,186.3000031,0,NA,NA,NA,NA,NA,NA,18.95000076,27.84000015,33.43999863,17.52000046,49.68000031,0,NA,NA,NA,NA,NA,NA,71.19999695,240.3699951,272.7799988,168.2599945,128.8000031,NA,NA,NA,NA,NA,NA,NA,87.22000122,279.5,278.7099915,161.1000061,117.5999985,NA,NA,NA,NA,NA,NA,NA,17.79999924,39.13000107,41.50999832,28.63999939,30.79999924,NA,NA,NA,NA,NA,NA,NA,35.52000046,92.44999695,146.5099945,256.7999878,151.8000031,60.75,0,0,0,0,0,0,52.79999924,109.6500015,137.5399933,240.75,158.3999939,66.15000153,0,0,0,0,0,0,7.679999828,12.89999962,17.94000053,37.45000076,19.79999924,9.449999809,NA,NA,NA,NA,NA,NA,745.6500244,105.2799988,57.20000076,4.860000134,795.3599854,98.55999756,41.59999847,11.88000011,132.5599976,20.15999985,6.239999771,1.25999999,219.1499939,323.8399963,282.1499939,NA,NA,NA,NA,233.7599945,360.6400146,300.9599915,NA,NA,NA,NA,34.09000015,51.52000046,43.88999939,NA,NA,NA,NA,300.9400024,240.1699982,211.1900024,NA,NA,NA,NA,359.6600037,235.0599976,198.2599945,NA,NA,NA,NA,66.05999756,35.77000046,21.54999924,NA,NA,NA,NA,509.3299866,395.9599915,394.0100098,552.2600098,67.26999664,93.77999878,0,0,0,0,0,0,0,0,0,0,0,0,188.6000061,326.6499939,184.4700012,199.75,196.8000031,319.7000122,245.9600067,195.5,20.5,48.65000153,47.29999924,34,829.0800171,93.20999908,811.4400024,121.8899994,123.4800034,21.51000023,0.450895965,0.499047399,0.520841241,0.513966203,0.477839947,0.492518151,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,99," (The following are some proposals that are being considered in Congress to deal with Medicare's funding problems. For each one, please tell me whether you strongly favor, somewhat favor, somewhat oppose, or strongly oppose this proposal.)... R",TRUE,FALSE,TRUE,FALSE,-1
187,616,1991,2.5,NA,0,1,taxation,39,49,56,69,68,65,44,123,76,32,0,0,32,55,89,72,64,62,57,107,59,24,0,0,1,0,0,0,1,1,0,3,4,3,0,0,105,212,148,83,72,0,0,0,0,0,0,0,144,252,121,68,37,0,0,0,0,0,0,0,4,6,2,0,1,0,0,0,0,0,0,0,69,63,89,107,119,75,29,31,0,0,0,0,77,67,98,114,116,65,17,12,0,0,0,0,1,6,2,0,1,1,1,1,0,0,0,0,501,56,41,14,469,85,50,7,10,0,3,0,207,193,219,0,0,0,0,203,187,233,0,0,0,0,4,5,3,0,0,0,0,234,248,128,0,0,0,0,234,259,116,0,0,0,0,7,5,1,0,0,0,0,291,328,302,320,6,7,319,193,17,47,379,170,13,27,7,3,0,1,164,170,147,138,138,219,156,110,6,3,2,1,469,148,476,144,10,2,0.483233869,0.464033902,0.47521311,0.518800557,0.591404319,0.506537151,0,0,0,13,NA,-1,-1,NA,NA,-1,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,-1,NA,NA,1,0,0,0,0,1,"As you know, the roads, highways, bridges, and other public structures in the country have not been repaired for some time in places. If the money collected could be used only for the purpose of repairing neglected roads, highways, bridges, and",TRUE,TRUE,FALSE,FALSE,1
193,364,1985,4.5,1989.5,0,1,budget,37,38,63,56,74,47,33,94,50,0,0,0,60,59,79,89,83,61,45,110,113,0,0,0,1,2,9,7,4,5,5,12,19,0,0,0,38,159,139,97,59,0,0,0,0,0,0,0,113,263,149,96,78,0,0,0,0,0,0,0,23,20,12,7,2,0,0,0,0,0,0,0,27,68,105,113,92,64,0,0,0,0,0,0,87,131,177,129,88,56,0,0,0,0,0,0,11,13,11,6,4,6,0,0,0,0,0,0,444,24,18,6,543,88,48,11,53,7,4,0,187,171,135,0,0,0,0,160,206,333,0,0,0,0,21,26,17,0,0,0,0,189,231,65,0,0,0,0,232,280,171,0,0,0,0,21,23,10,0,0,0,0,271,222,341,358,17,47,323,121,9,27,405,205,26,36,43,9,2,5,101,159,134,99,201,199,164,135,11,28,13,12,402,87,530,162,50,12,0.278936505,0.353920996,0.422758937,0.481720805,0.526228726,0.412713194,0,0,0,1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,-1,"Now let me ask you about key provisions of the deficit reduction proposal offered by President Reagan and Senate Republican leaders. For each, tell me if you favor or oppose that provision. Item: Terminating federal operating subsidies for mass",TRUE,TRUE,FALSE,FALSE,1
4,84,1981,0,NA,1,1,econ & labor,47,71,81,66,56,73,105,68,0,0,0,0,54,57,61,59,53,94,143,122,0,0,0,0,0,1,3,4,1,2,12,13,0,0,0,0,5,6,13,85,195,95,32,74,61,0,0,0,1,12,28,91,238,129,22,69,50,0,0,0,0,5,4,5,7,2,4,5,4,0,0,0,88,124,129,98,65,48,0,0,0,0,0,0,114,121,147,106,70,40,0,0,0,0,0,0,7,3,5,6,6,2,0,0,0,0,0,0,426,82,44,5,534,43,49,7,29,3,2,0,108,193,268,0,0,0,0,216,205,223,0,0,0,0,13,14,9,0,0,0,0,161,244,133,0,0,0,0,250,269,89,0,0,0,0,9,16,3,0,0,0,0,277,292,288,355,19,17,331,154,24,47,429,162,12,31,18,7,4,6,149,165,144,110,178,184,168,113,7,13,7,8,382,183,528,109,29,5,0.540985525,0.531626463,0.521354675,0.509245038,0.49910903,0.520464146,0,0,2,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,How do you feel about workers' right to strike -- do you favor or oppose the right of (READ EACH ITEM) to strike? Item: Elementary and High school teachers,FALSE,FALSE,TRUE,TRUE,-1
5,98,1981,0,NA,1,1,econ & labor,42,63,73,72,52,72,105,72,0,0,0,0,56,64,69,56,56,92,136,119,0,0,0,0,3,1,1,2,2,4,18,11,0,0,0,0,5,10,20,86,193,84,28,73,53,0,0,0,1,10,22,90,234,135,27,68,58,0,0,0,0,3,3,5,13,6,2,6,4,0,0,0,102,120,118,84,61,52,0,0,0,0,0,0,103,121,155,120,71,35,0,0,0,0,0,0,3,7,7,6,10,2,0,0,0,0,0,0,423,77,34,6,530,47,57,6,34,4,4,0,115,186,253,0,0,0,0,206,209,235,0,0,0,0,16,16,11,0,0,0,0,151,242,128,0,0,0,0,253,265,97,0,0,0,0,16,19,0,0,0,0,0,255,299,306,343,21,21,335,139,19,47,414,173,19,34,28,11,1,2,149,164,142,99,177,183,166,123,9,14,10,9,368,181,533,111,35,4,0.480779827,0.545003355,0.570049465,0.555148602,0.499745131,0.530145276,0,0,2,0,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,How do you feel about workers' right to strike -- do you favor or oppose the right of (READ EACH ITEM) to strike? Item: Sanitationmen (garbage collectors),FALSE,FALSE,TRUE,FALSE,-1
20,319,1983,0,NA,0,1,taxation,46,61,68,53,46,77,124,80,0,0,0,0,54,68,78,84,53,86,142,116,0,0,0,0,0,1,3,1,2,6,5,7,0,0,0,0,0,11,11,69,192,94,32,88,61,0,0,0,9,16,24,112,257,93,32,82,58,0,0,0,0,1,2,2,9,5,1,1,4,0,0,0,65,105,122,112,69,44,0,0,0,0,0,0,118,141,155,92,64,52,0,0,0,0,0,0,3,4,3,8,1,2,0,0,0,0,0,0,464,45,32,3,546,87,35,9,21,1,3,0,162,186,209,0,0,0,0,161,235,287,0,0,0,0,2,16,8,0,0,0,0,218,228,92,0,0,0,0,235,271,120,0,0,0,0,7,9,3,0,0,0,0,271,287,311,373,11,14,357,138,10,32,398,192,26,41,14,5,1,3,128,164,141,124,194,207,174,109,5,8,7,7,429,121,541,134,22,3,0.359978676,0.428412974,0.476554155,0.502395391,0.504062295,0.454280698,0,0,8,0,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,-2,NA,NA,-2,NA,NA,NA,1,0,0,0,0,1,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Passing a national sales tax of 2% on all purchases, excluding purchases of fo",FALSE,TRUE,FALSE,FALSE,1
26,402,1985,0,NA,0,1,econ & labor,60,75,134,108,78,49,36,83,8,0,0,0,14,25,40,54,48,39,29,63,6,0,0,0,1,1,5,3,5,0,1,2,1,0,0,0,67,241,161,102,60,0,0,0,0,0,0,0,19,73,74,74,78,0,0,0,0,0,0,0,2,9,4,2,2,0,0,0,0,0,0,0,27,86,176,160,98,60,0,0,0,0,0,0,13,25,49,64,83,72,0,0,0,0,0,0,3,2,4,4,2,2,0,0,0,0,0,0,503,74,41,10,293,9,11,3,17,1,0,0,164,211,256,0,0,0,0,112,110,96,0,0,0,0,4,11,4,0,0,0,0,225,258,137,0,0,0,0,123,159,30,0,0,0,0,6,3,2,0,0,0,0,345,286,208,109,14,5,0,0,0,0,0,0,0,0,0,0,0,0,175,168,165,123,79,98,77,64,4,5,3,7,450,179,254,62,14,5,0.76120621,0.764504194,0.721787572,0.621460557,0.451203823,0.664032471,3,1,7,0,NA,2,-2,NA,NA,NA,1,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-2,NA,NA,2,NA,NA,-2,-2,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,2,NA,NA,1,0,0,0,0,1,Would you favor or oppose a law which required an employer to give a year’s notice to the employees before closing down the place where they work?,FALSE,FALSE,TRUE,TRUE,-1
34,596,1990,0,NA,0,1,taxation,37,49,71,64,49,41,26,82,58,26,0,0,26,37,48,54,51,48,36,100,42,25,0,0,0,0,1,2,3,2,0,3,6,5,0,0,128,206,90,51,32,0,0,0,0,0,0,0,104,176,96,54,39,0,0,0,0,0,0,0,8,9,1,1,2,0,0,0,0,0,0,0,63,77,104,86,83,45,10,12,0,0,0,0,53,70,82,76,87,38,9,15,0,0,0,0,2,5,3,3,1,1,1,1,0,0,0,0,404,56,35,3,374,52,28,7,18,3,1,0,165,132,211,0,0,0,0,147,142,179,0,0,0,0,5,10,7,0,0,0,0,196,209,88,0,0,0,0,191,194,63,0,0,0,0,9,8,3,0,0,0,0,228,280,246,223,4,18,0,0,0,0,0,0,0,0,0,0,0,0,110,177,129,93,131,152,105,80,3,8,6,5,0,0,0,0,0,0,0.540461183,0.540249586,0.533674359,0.5215379,0.499633491,0.527111304,0,0,8,0,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,-2,NA,NA,-2,NA,NA,NA,1,0,0,0,0,1,"One way to make up for not using Social Security money to pay for the budget deficit is to have a 5% national sales tax on all products except food, health care, and housing. Would you favor or oppose such a sales tax?",FALSE,FALSE,TRUE,TRUE,-1
