No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
11,A001-023,General,Supplemental Homeowner's Tax Credit,-204268.00,-97354.00,-72526.00,-68991.00,-61677.00,-42287.00,-25146.00,-23316.00,-15692.00,-10693.00,-6727.00,-5416.00,-4943.00,-3143.00,-3689.00,-3664.00,-2406.00,-1492.00,-806.00,-716.00,-167.00,-367.00,261.00,-1728.00, $-   ,-16.00,-1593.00,-77.00,-76.00,-1129.00,-146.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
12,A001-024,General,Tax Sale Expense,-1663419.00,291788.00,-434695.00,72502.00,-904968.00,184027.00,867502.00,-2554857.00,39890.00,-644048.00,-1834910.00,-1193831.00,-2699114.00,-2279053.00,-2466970.00,-1654207.00,-3599064.00,-5363446.00,-2958910.00,-6117337.00,-5418537.00,-3987936.00,-13763863.00,-9342901.00,-10904104.00,1998749.00,4309809.00,7510248.00,3858911.00,9516004.00,1772099.00,1800384.00,9805601.00,-483.00,-1222.00, $-   , $-   ,-37758.00,2889116.00,651730.00
13,A001-025,General,Newly Constructed Dwellings Tax Credit, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-229664.00,-309238.00,-330748.00,-418921.00,-481491.00,-704261.00,-1120122.00,-1471194.00,-1653005.00,-2837490.00,-2848550.00,-3999694.00,-5002670.00,-4016030.00,-3164268.00,-3619532.00,-3147838.00,-2823800.00,-2354271.00,-2296387.00
14,A001-026,General,Conservation Tax Credit, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-1077.00,-1123.00,-1175.00,-1016.00, $-   ,-2176.00,2760.00, $-   , $-   ,-244.00, $-   ,-1038.00, $-   ,-138.00,-2002.00, $-   , $-   , $-   , $-   ,-280054.00, $-   ,-6664.00,-8686.00, $-   , $-   ,-4514.00, $-   ,0.00
15,A001-027,General,Phase in Tax Credit,-1037798.00,-720488.00,-3027948.00,-1834483.00,-2598812.00,-3869516.00,-4244147.00,-4025191.00,-3107434.00,-2512245.00,-1838033.00,-1534932.00,-1524806.00,-1162071.00,-3885325.00,-6546851.00,-7858126.00,-7727596.00,-5743619.00,-4543942.00,-4037211.00,-4022063.00,-4085633.00,-5152916.00,-6662875.00,-8100425.00,-12245810.00,-17391716.00,-25123675.00,-36871391.00,-67018073.00,-108538179.00,-147206052.00,-142631417.00,-118209701.00,-93333936.00,-65808978.00,-45641154.00,-38198509.00,-35078679.00
16,A001-028,General,Other Property Tax Credits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-20925.00,-135333.00,-39389.00,-37699.00,-21768.00,-176553.00,-143549.00,-143337.00,-167026.00,-131853.00,-307001.00,-598461.00,-197838.00,-255578.00,-820005.00,-1369027.00,-2672376.00,-3017124.00,-3631431.00,-9251638.00,-7590474.00,-9194713.00
17,A001-029,General,Enterprise Zone Tax  Credit, $-   , $-   , $-   , $-   , $-   , $-   ,-62814.00,-32649.00,-45208.00,-43531.00,-538445.00,-421620.00,-432436.00,-332404.00,-1173623.00,-725534.00,-939382.00,-641278.00,-541811.00,-366245.00,-770866.00,-410351.00,-821219.00,-212042.00,-1030387.00,-2104348.00,-2466953.00,-2324187.00,-3144933.00,-1401776.00,-3016964.00,-5009605.00,-676572.00,-6646281.00,-18032930.00,-5296303.00,-12253774.00,-16517996.00,-14920059.00,-17239670.00
18,A001-030,General,Cemetery Dwellings Tax Credit, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-2413.00,-1762.00,-3051.00,-3934.00,-1645.00,-3983.00,-6865.00,-6533.00,37037.00,-8159.00,-8574.00,-8159.00,-8721.00,-8720.00,-5297.00,-8380.00,-5367.00,-5365.00,-1553.00,-5211.00,-867.00,-2525.00,-1921.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
19,A001-031,General,Public Safety Officer Tax Credit, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-4816653.00,-143519.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6641255.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
20,A001-032,General,Historic Property Tax Credits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-83970.00,-426005.00,-428413.00,-597084.00,-1294944.00,-1459506.00,-2006543.00,-2449907.00,-3648031.00,-5281391.00,-5231586.00,-7084075.00,-8258227.00,-9170767.00,-6422665.00,-6356060.00,-6763488.00,-7774025.00,-9420624.00
21,A001-038,General,Tax Increment Financing Districts, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,135995.00, $-   ,4821000.00,4513592.00,6668267.00,7368818.00,10432692.00,9975062.00,9808285.00,10159379.00,11345154.00,11952722.00
22,A001-039,General,Targeted Homeowners Tax Credit, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-3520189.00,-15101706.00,-19549417.00,-22627705.00,-26288025.00
23,A001-040,General,High-Performace Market-Rate Rental Housing Tax Credit,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , $-   , $-   ,1000.00,-3500.00,-373314.00,-2567501.00
24,A001-041,General,Heavy Equipment Gross Recipts, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,32605.00,105063.00,210614.00,51794.00,178337.00
25,A001-042,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,373960.00,69995.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
26,A001-043,General,Beverage Container Tax, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,3477019.00,7195879.00,6986675.00,6266121.00,5986436.00,6074166.00,5215984.00,2426490.00,251489.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,4726433.00,5396758.00,4452565.00, $-   , $-   , $-   , $-   
27,A001-044,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,9750.00, $-   , $-   ,6360.00,16456.00,3521.00,1600.00,1465.00,1734.00,2394.00, $-   ,3260.00,9110.00,12896.00,8000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
28,A001-045,General,Gas,3283596.00,3619922.00,4409316.00,5328427.00,6501161.00,6944878.00,6315041.00,4309589.00,3638601.00,2780143.00,2269123.00,2174071.00,2453250.00,1941178.00,1850547.00,2108554.00,2216697.00,1646636.00,2051621.00,2155394.00,2145363.00,2023479.00,2129567.00,2305961.00,2305301.00,3481711.00,2903980.00,8436004.00,9482526.00,8760816.00,8671577.00,9418949.00,9142842.00,11718674.00,10219813.00,12792175.00,13845629.00,13987152.00,12278209.00,12477478.00
29,A001-046,General,Electricity,8857249.00,10594125.00,10104350.00,10540101.00,10490441.00,10877379.00,11268696.00,12237216.00,12860063.00,12790149.00,12166666.00,11760712.00,12236557.00,12414322.00,12753166.00,11418928.00,10934439.00,9819497.00,9734762.00,9797577.00,9387278.00,9676275.00,10251213.00,10467547.00,10982690.00,10688142.00,10565038.00,13764768.00,18112919.00,18654296.00,19054092.00,19397523.00,19793135.00,24241425.00,24075834.00,25022509.00,25398317.00,26288599.00,27505994.00,26527984.00
30,A001-047,General,Fuel Oil,4672012.00,4518764.00,5007097.00,4541272.00,3115623.00,3170997.00,3041563.00,1958424.00,1103673.00,901304.00,761453.00,704631.00,921910.00,479780.00,525200.00,470788.00,609453.00,259022.00,441835.00,286508.00,283669.00,203835.00,298895.00,547191.00,159289.00,397109.00,377244.00,1027179.00,1107644.00,578391.00,464157.00,588258.00,424374.00,534666.00,396682.00,515130.00,551363.00,380391.00,270239.00,229787.00
31,A001-049,General,Steam,841112.00,838122.00,718959.00,671738.00,678393.00,637678.00,758157.00,661871.00,561202.00,486572.00,493229.00,452731.00,422538.00,553775.00,486332.00,465802.00,491030.00,434893.00,520870.00,522552.00,441816.00,453072.00,398273.00,409136.00,369903.00,579709.00,400957.00,569846.00,771589.00,576347.00,846450.00,886086.00,802855.00,1037658.00,991806.00,1174606.00,1202102.00,1234975.00,1054446.00,993102.00
32,A001-050,General,Telephone,8440839.00,8836864.00,8886296.00,8757359.00,8731584.00,9301313.00,9561481.00,10251721.00,11002082.00,11557574.00,12042688.00,12378414.00,12818379.00,13058637.00,13085294.00,13154711.00,13036656.00,13517761.00,13952747.00,14239904.00,11989558.00,11939022.00,12188744.00,12488427.00,12184893.00,12396666.00,12973061.00,25403091.00,29069808.00,29945838.00,29374462.00,29126965.00,26291934.00,34937114.00,34016980.00,33289930.00,33389054.00,33637912.00,33836903.00,35772514.00
33,A001-051,General,Homeless Relief Assistance Tax, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,59643.00,81780.00,94886.00,87319.00,79387.00,74613.00,70861.00,99413.00,98159.00,90847.00,140902.00,183766.00,230668.00,227844.00,292861.00,282630.00,339217.00,390452.00,416017.00,504967.00,569393.00,413009.00,347263.00,374818.00,374438.00,375900.00,451627.00,376610.00,467823.00,465156.00
34,A001-052,General,Hotel Tax (transferred from CC Fund),388722.00,486651.00,532462.00,1058622.00,1432943.00,1951794.00,2436548.00,2845544.00,3690504.00,4403679.00,4927278.00,6119418.00,7003299.00,7247939.00,7796756.00,8079760.00,8419852.00,8721478.00,9590638.00,11068349.00,9122641.00,9826048.00,9925743.00,11608920.00,13482922.00,12635998.00,12214613.00,13951176.00,16883874.00,15856630.00,17195252.00,16197092.00,14693436.00,22495695.00,27904964.00,25932350.00,26744860.00,26698367.00,29629899.00,30462290.00
35,A001-053,General,Property Transfer,4744667.00,5592159.00,6172884.00,6784102.00,5965254.00,6580960.00,10077652.00,10363444.00,10116244.00,14030161.00,12376920.00,13852984.00,12199078.00,9839088.00,9487945.00,9502337.00,10577019.00,9985349.00,11185654.00,15237357.00,16469668.00,18228597.00,19799825.00,18468131.00,20546244.00,25977911.00,31209314.00,46423968.00,61123554.00,52725582.00,36495044.00,23388979.00,26022597.00,21844845.00,22840024.00,27506213.00,36767342.00,36801231.00,47642256.00,48179234.00
36,A001-054,General,Liquid Petroleum Gas,92822.00,48667.00,351113.00,435586.00,339213.00,318368.00,240561.00,31214.00,28523.00,37742.00,31565.00,27025.00,18437.00,12586.00,10631.00,32325.00,29738.00,31770.00,38832.00,36205.00,33527.00,36819.00,36490.00,53584.00,24531.00, $-   , $-   ,101103.00,88141.00,66058.00,75505.00,71660.00,73367.00,72596.00,56975.00,59860.00,83291.00,81777.00,93410.00,124639.00
37,A001-055,General,Refund Reserve - Gas,-33308.00,-34853.00,-82157.00,-67978.00,-107210.00,-276424.00,-171164.00,-242810.00,-131260.00,-117402.00,-96172.00,-82306.00,-102390.00,-97454.00,-91972.00,-87633.00,-94567.00,-92102.00,-75793.00,-118605.00,-139315.00,-35517.00,-58044.00,-103252.00,-65621.00,-58361.00,-167171.00,-115834.00,-297189.00,-65295.00,-80479.00,-191540.00,-146044.00,-120730.00,-120114.00,-94003.00,-66066.00,-90343.00,-11825.00,-229543.00
38,A001-056,General,Refund Reserve - Electricity,-116872.00,-122328.00,-335470.00,-232530.00,-152927.00,-185930.00,-157932.00,-167704.00,-157294.00,-144452.00,-167992.00,-166364.00,-160426.00,-155853.00,-236749.00,-175168.00,-168941.00,-181637.00,-162568.00,-263425.00,-223272.00,-167576.00,-152382.00,-206403.00,-71417.00,-113159.00,-196975.00,-13559.00,-1146667.00,-109407.00,-142528.00,-525968.00,-323295.00,-229772.00,-194766.00,-173308.00,-151075.00,-159707.00,-15920.00,-495008.00
39,A001-057,General,Refund Reserve - Fuel Oil,-118454.00,-115476.00,-125864.00,-155749.00,-80636.00,-58726.00,-53169.00,-50367.00,-37450.00,-19264.00,-19801.00,-15519.00,-26685.00,-18263.00,-10130.00,-14431.00,-11910.00,-14586.00,-15911.00,-19010.00,-1608.00,-672.00,-434.00,-45100.00,-2317.00,-143308.00,-23568.00,-325.00,-27280.00,-617.00,-6014.00,-243923.00,-4006.00,-868.00, $-   , $-   , $-   ,-11742.00, $-   , $-   
40,A001-058,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
41,A001-059,General,,-1614.00,-2028.00,-21633.00,-3205.00,-24295.00,-29891.00,-13932.00,-4660.00,-1425.00,-2914.00,-4053.00,-5879.00,178.00,-1835.00,-4627.00,-4532.00,-1901.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-68.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
42,A001-060,General,Housing Authority, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,314096.00,400000.00,993283.00,820814.00,758334.00,751980.00,650962.00,363098.00,346970.00,720923.00,366250.00,518014.00,498740.00,628127.00,674296.00,327411.00,622522.00,375598.00,402046.00, $-   , $-   ,16646.00,117680.00, $-   ,743198.00,370122.00,732186.00,707860.00,457489.00,331915.00,637111.00
43,A001-061,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
44,A001-062,General,Urban Renewal,97494.00,163915.00,132190.00,57656.00,163095.00,127109.00,122462.00,211170.00,276747.00,128503.00,79234.00,79311.00,326221.00,36631.00,48345.00,11937.00,35343.00,144901.00,133454.00,488735.00,41923.00,38529.00,103045.00,69325.00,65062.00,29240.00,65036.00,35727.00,192757.00,39054.00,24960.00,37343.00,96169.00,43101.00,82447.00,70068.00,119005.00,122208.00,107872.00,145179.00
45,A001-063,General,Off-Street Parking Properties,144230.00,136662.00,106006.00,104787.00,213873.00,160045.00,126225.00,128812.00,131447.00,141784.00,191413.00,278812.00,264884.00,1172556.00,476963.00,246863.00,859206.00,691560.00,1025816.00,493129.00,626206.00,625742.00,186913.00,1318290.00,1602813.00,638565.00,859855.00,856028.00,726955.00,1156015.00,718110.00,281211.00,1182273.00,703359.00,722000.00,718201.00,720234.00,2450687.00,277738.00,753861.00
46,A001-064,General,Maryland Port and Stadium Authorities,102700.00,102700.00,108992.00,119264.00,106742.00,106742.00,106742.00,106129.00,106129.00,106129.00,90586.00,99912.00,99912.00,99912.00,99912.00,99912.00,99912.00,206574.00,229010.00,100755.00,644770.00,660063.00,652535.00,777694.00,1075928.00,1026062.00,961697.00,968915.00,746598.00,744598.00,740371.00,964153.00,1930564.00,1204836.00,1038669.00,1029696.00,1002175.00,1007243.00,1555195.00,964459.00
47,A001-065,General,Apartments,263267.00,542005.00,952218.00,893156.00,985944.00,1847326.00,1580041.00,1894306.00,1780966.00,2054570.00,2369005.00,2370385.00,2670046.00,2825898.00,2924927.00,3203073.00,3245224.00,3344509.00,3377939.00,3316515.00,3677462.00,3317810.00,3979579.00,3476888.00,3631990.00,3687991.00,3407630.00,3304411.00,3427013.00,3256040.00,3681081.00,3482013.00,3475215.00,3502437.00,2352559.00,3184383.00,3889827.00,3449032.00,3624259.00,4350885.00
48,A001-067,General,Economic Development,312835.00,415749.00,429973.00,518221.00,477738.00,560307.00,555731.00,484960.00,488191.00,520358.00,156802.00,362294.00,326476.00,283485.00,264878.00,271110.00,218355.00,220191.00,106779.00,517341.00,96243.00,76728.00,47841.00,163436.00,57283.00,97966.00,192652.00,272843.00,457010.00,722017.00,895381.00,798966.00,970179.00,904627.00,1021058.00,1098191.00,1068349.00,1494685.00,1858064.00,1460842.00
49,A001-068,General,Annual Nonprofit Contributions, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,5400002.00,5400000.00,2941022.00,2389287.00,2411533.00,1061713.00,6325491.00
50,A001-075,General,Tax Sale Fees and Other,386081.00,278817.00,209613.00,242636.00,244009.00,268744.00,61348.00,419433.00,310766.00,308095.00,369014.00,410986.00,518960.00,614282.00,823542.00,920299.00,896580.00,1272406.00,1025184.00,1135389.00,934559.00,1434995.00,1183589.00,1546785.00,1192225.00,498143.00,434811.00,518928.00,791698.00,460094.00,242325.00,209736.00,1420028.00,1179761.00,385447.00,260269.00,532083.00,61018.00,493193.00,595901.00
51,A001-076,General,Simulated Slot Machines, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,854878.00,1066225.00,178435.00,634245.00,1751633.00,1324839.00,1058050.00
52,A001-077,General,Billboard tax,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , $-   , $-   ,100000.00, $-   ,4525725.00,1673235.00
53,A001-078,General,Taxicab Excise tax,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , $-   , $-   ,57362.00,135802.00,45617.00,25495.00
54,A001-081,General,Income Tax - State Collected,57969520.00,57596601.00,67439211.00,72519733.00,78099713.00,80153044.00,83262539.00,90646650.00,96550990.00,100721253.00,113445780.00,105430798.00,113468464.00,117877558.00,114696658.00,117019648.00,119326796.00,113168384.00,115102802.00,121077459.00,130862223.00,138354250.00,139119994.00,149782645.00,166173478.00,164396261.00,173254387.00,188222096.00,206262389.00,229015908.00,251640756.00,250162547.00,208714274.00,224463361.00,249042604.00,265351167.00,270817755.00,291089345.00,327337285.00,317749560.00
55,A001-083,General,Unallocated Withholding - Regular, $-   , $-   ,744623.00,826327.00,1008832.00,930058.00,988954.00,1363313.00,1295583.00,1464378.00,1686456.00,1935027.00,2041337.00,2441592.00,2695692.00,2642949.00,3401433.00,2919092.00,2867498.00,2944568.00,3023966.00,2939029.00,3075557.00,3086628.00,3079018.00,3455535.00,3840624.00,5663849.00,5901969.00,7691249.00,7515995.00,15402484.00,9314325.00,9291861.00,9178516.00,9079307.00,6942867.00,8637916.00,8851259.00,8842340.00
56,A001-084,General,Income Tax - Fiduciary Returns, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,8142827.00,3354651.00,2379389.00,3140932.00,2449993.00,2379333.00,3129797.00,2857621.00,3221566.00,2452836.00,3861491.00,3976483.00,4611879.00,17976059.00,12321163.00,7718386.00,5411328.00,5749292.00,13085496.00,6903725.00,8468188.00,5037462.00,4347118.00,1199789.00,3954769.00,4038776.00,6676867.00,8036761.00,10538720.00,8259115.00
57,A001-085,General,Admissions,2758139.00,2029259.00,2799588.00,2375127.00,2851313.00,2958324.00,4421136.00,3413295.00,4107334.00,4114478.00,4369267.00,4595238.00,5586639.00,5288311.00,4489073.00,4377318.00,4760373.00,4452451.00,4363203.00,6159901.00,6849891.00,6208547.00,7250310.00,7353152.00,7563496.00,8121311.00,7906266.00,8485184.00,8562237.00,9188315.00,9775308.00,9432565.00,7475230.00,8184509.00,7581026.00,9161053.00,7460404.00,8235793.00,7813165.00,9050608.00
58,A001-086,General,Recordation,2478493.00,2371386.00,2567508.00,2800617.00,2238069.00,3348160.00,5094377.00,6476146.00,6761571.00,8905168.00,7891563.00,8210318.00,7267321.00,5908387.00,5561579.00,5993219.00,6391292.00,6052301.00,6316545.00,8365745.00,9429066.00,10286135.00,10049724.00,9965394.00,12385604.00,13883662.00,17990206.00,36581644.00,55610381.00,52662603.00,39186697.00,22779063.00,20942367.00,19425608.00,20137264.00,28424774.00,37777173.00,34111424.00,44273451.00,42241474.00
59,A001-092,General,,1140288.00,930458.00,889642.00,884839.00,871326.00,871799.00,878810.00,851028.00,883528.00,813935.00,833656.00,820022.00,787804.00,740380.00,513931.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
