"Q1","Q2","Q3","Q4","Q5AF1","Q5BF1","Q5CF1","Q5DF1","Q5AF2","Q5BF2","Q5CF2","Q5DF2","Q6A","Q6B","RELIG","BORN","QNO","CASEID","SEX","HEADHH","EMPLOY","PARTY","PARTYLN","PARTYFUL","OCCUP","MARITAL","OWN","HHNUM","CHILD1","CHILD2","CHILD3","EDUC","AGE","HISP","RACE1","RACE2","RACE3","RACE4","INC1","INC2","INC3","WEIGHT","TIMEZONE","STATE","METRO","DIVISION","REGION","INTDATE"
"Favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely disagree ","Yes ","No ","Catholic ",NA,328000159,159,"Male ","Yes ","Not currently employed ","Independent ","Neither/Other ","Independent ",NA,"Married ","Own ","Four ","No ","No ","Yes ","Associates degree ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",1.1618,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Mostly agree ","Yes ","No ","Jewish ",NA,328000161,161,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Separated ","Rent ","One ",NA,NA,NA,"Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.6145,"Eastern","MARYLAND","Outside Center City, Inside Center City County ","South Atlantic","South ",81111
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328000178,178,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.6416,"Eastern","FLORIDA","Outside Center City, Inside Center City County ","South Atlantic","South ",81111
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Completely agree ","Completely agree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328000195,195,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- craftsmen/Foremen ","Single and never been married ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,1.2158,"Eastern","NEW YORK","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81111
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Mostly agree ","Mostly agree ","Don't know/Refused ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328000202,202,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Divorced ","Rent ","Four ","No ","No ","Yes ","College graduate/Bachelors degree ","45-49 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.7172,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81111
"Oppose ","Completely disagree ","Don't know/Refused ","Never heard of term ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely disagree ","No ","No ","Protestant ","Yes ",328000224,224,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.4171,"Central","ILLINOIS","In Non-Metropolitan Area ","East North Central","Midwest ",81111
"Don't know/Refused ","Don't know/Refused ","Favor ","Never heard of term ",NA,NA,NA,NA,"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","No ","No ","Christian or 'Just Christian' ","Refused ",328000233,233,"Female ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.4239,"Central","OKLAHOMA","In Center City of Metropolitan Area ","West South Central","South ",81111
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","Yes ","Christian or 'Just Christian' ","Yes ",328000247,247,"Female ","Yes ","Self employed ","Independent ","Neither/Other ","Independent ","Service worker ","Married ","Own ","Six ","No ","Yes ","Yes ","Associates degree ","30-34 ","No ","Black/African-american ","Some other race ",NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,3.2684,"Eastern","MICHIGAN","In Center City of Metropolitan Area ","East North Central","Midwest ",81111
"Oppose ","Mostly agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Protestant ","No ",328000250,250,"Female ","Yes ","Retired ","Other party ","Democratic ","Independent-lean Democratic ",NA,"Divorced ","Own ","Two ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.587,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81111
"Favor ",NA,"Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Completely agree ","Yes ","No ","Catholic ",NA,328000253,253,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.3465,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Catholic ",NA,328000270,270,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Five ","No ","No ","Yes ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",2.144,"Central","LOUISIANA","Inside Suburban County of Metropolitan Area ","West South Central","South ",81111
"Don't know/Refused ","Mostly disagree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly disagree ","No ","No ","Nothing in particular ",NA,328000274,274,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","Service worker ","Single and never been married ","Rent ","Two ","No ","No ","No ","Some college, but no degree ","35-39 ","No ","Black/African-american ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,1.2725,"Eastern","OHIO","In Center City of Metropolitan Area ","East North Central","Midwest ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Protestant ","No ",328000276,276,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","No ","Yes ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.5919,"Eastern","MAINE","Outside Center City, Inside Center City County ","New England","North East ",81311
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Protestant ","No ",328000278,278,"Female ","Yes ","Not currently employed ","Don't know/Refused ","Democratic ","Independent-lean Democratic ",NA,"Married ","Rent ","Two ","No ","No ","No ","High school complete (grade 12) ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.7573,"Central","WISCONSIN","Outside Center City, Inside Center City County ","East North Central","Midwest ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","Yes ","No ","Nothing in particular ",NA,328000282,282,"Female ","Yes ","Homemaker ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Rent ","Five ","No ","Yes ","No ","Associates degree ","40-44 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,3.0998,"Central","ALABAMA","In Center City of Metropolitan Area ","East South Central","South ",81111
"Oppose ","Mostly agree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Mostly agree ","Yes ","No ","Catholic ",NA,328000290,290,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Four ","No ","No ","Yes ","College graduate/Bachelors degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.3337,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81111
"Oppose ","Mostly agree ","Don't know/Refused ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely disagree ","Completely agree ","Yes ","No ","Protestant ","Yes ",328000294,294,"Female ","Yes ","Retired ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",0.4171,"Central","MISSOURI","Inside Suburban County of Metropolitan Area ","West North Central","Midwest ",81311
"Oppose ","Mostly disagree ","Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328000305,305,"Female ","Yes ","Employed part time ","Independent ","Neither/Other ","Independent ","White collar -- sales, clerical ","Married ","Own ","Four ","No ","No ","No ","College graduate/Bachelors degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.7894,"Eastern","OHIO","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Don't know/Refused ","Completely disagree ","Mostly agree ","Completely agree ","No ","No ","Mormon ",NA,328000306,306,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Rent ","One ",NA,NA,NA,"Some college, but no degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.4171,"Central","MISSOURI","Inside Suburban County of Metropolitan Area ","West North Central","Midwest ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328000312,312,"Male ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","White collar -- professional, managerial, owner ","Divorced ","Own ","Two ","No ","No ","Yes ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","45-49 ","Yes ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",2.4665,"Eastern","NEW YORK","Outside Center City, Inside Center City County ","Middle Atlantic","North East ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","No ","No ","Nothing in particular ",NA,328000323,323,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Four ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.7517,"Eastern","NEW YORK","Outside Center City, Inside Center City County ","Middle Atlantic","North East ",81111
"Favor ",NA,"Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Mostly disagree ","Mostly disagree ","No ","No ","Protestant ","No ",328000326,326,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Divorced ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.646,"Central","MISSOURI","Inside Suburban County of Metropolitan Area ","West North Central","Midwest ",81111
"Oppose ","Mostly agree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","No ","Refused ",NA,328000336,336,"Female ","Refused/Nr ","Refused/Nr ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,4.1132,"Central","MINNESOTA","Outside Center City, Inside Center City County ","West North Central","Midwest ",81111
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Mostly agree ","No ","No ","Protestant ","No ",328000362,362,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Three ","No ","No ","No ","High school complete (grade 12) ","30-34 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",3.7577,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81311
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Completely disagree ","Yes ","No ","Catholic ",NA,328000366,366,"Male ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.3563,"Eastern","OHIO","In Center City of Metropolitan Area ","East North Central","Midwest ",81111
"Strongly oppose ","Completely disagree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely disagree ","Completely disagree ","Completely disagree ","Yes ","Yes ","Protestant ","Yes ",328000368,368,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Divorced ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.4676,"Mountain","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81111
"Strongly favor ",NA,"Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Catholic ",NA,328000376,376,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- semiskilled, unskilled ","Living as married ","Own ","Three ","No ","No ","Yes ","Some college, but no degree ","45-49 ","Yes ","Refused/Nr ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",2.5755,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","No ","No ","Nothing in particular ",NA,328000385,385,"Male ","Yes ","Not currently employed ","Independent ","Republican ","Independent-lean Republican ",NA,"Single and never been married ","Rent ","Ten or more ","No ","No ","No ","High school complete (grade 12) ","18-20 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,1.4378,"Eastern","MICHIGAN","In Non-Metropolitan Area ","East North Central","Midwest ",81111
"Don't know/Refused ","Mostly agree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Completely disagree ","Yes ","No ","Catholic ",NA,328000386,386,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",0.6674,"Eastern","NEW YORK","Outside Center City, Inside Center City County ","Middle Atlantic","North East ",81111
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly disagree ","Completely agree ","Completely disagree ","Mostly agree ","No ","No ","Protestant ","Yes ",328000394,394,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Widowed ","Own ","Eight ","Yes ","Yes ","Yes ","High school complete (grade 12) ","40-44 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",3.6586,"Eastern","MICHIGAN","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81111
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly agree ","Mostly disagree ","Yes ","Yes ","Protestant ","Yes ",328000395,395,"Female ","No ","Self employed ","Democrat ",NA,"Democrat ","Service worker ","Single and never been married ","Own ","Six ","Yes ","Yes ","No ","High school incomplete (grades 9, 10, 11) ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,1.768,"Central","MISSOURI","In Center City of Metropolitan Area ","West North Central","Midwest ",81111
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","No ","No ","Christian or 'Just Christian' ","Refused ",328000421,421,"Female ","Yes ","Self employed ","Independent ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.5919,"Eastern","PENNSYLVANIA","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Mostly disagree ","Completely disagree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"Yes ","Yes ","Mormon ",NA,328000430,430,"Male ","Yes ","Employed part time ","Republican ",NA,"Republican ","White collar -- sales, clerical ","Single and never been married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","50-54 ","No ","White/Caucasian ","Some other race ",NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,1.7255,"Eastern","NORTH CAROLINA","In Non-Metropolitan Area ","South Atlantic","South ",81111
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly disagree ","Completely disagree ","Completely agree ","No ","No ","Nothing in particular ",NA,328000435,435,"Male ","No ","Student ","Republican ",NA,"Republican ",NA,"Single and never been married ","Refused/Nr ","Four ","No ","No ","Yes ","High school complete (grade 12) ","18-20 ","No ","Black/African-american ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,1.2583,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81211
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328000449,449,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Rent ","Five ","Yes ","No ","No ","College graduate/Bachelors degree ","45-49 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.6908,"Eastern","NEW YORK","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81311
"Strongly oppose ","Completely agree ","Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328000457,457,"Female ","No ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Rent ","Five ","Yes ","Yes ","No ","High school complete (grade 12) ","25-29 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,2.5641,"Eastern","INDIANA","In Center City of Metropolitan Area ","East North Central","Midwest ",81311
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328000459,459,"Female ","Yes ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,1.042,"Eastern","NEW YORK","In Non-Metropolitan Area ","Middle Atlantic","North East ",81111
